LOCATION,ITEM NO,ITEM DESCRIPTION,PACK,SIZE,ITEM WGT,WEEKLY MVMT,ITEM COST,CASES DAMAGED,COLOR_CASES DAMAGED,LINK_
A10-117-R-2052-2142-84,\s126000,SWISS 4 X 4 LOT,2,8# AVG,16,293.4,2.49,0,green,http://yourURL?LOCATION=
A10-118-L-2232-2154-0,\s505514,SHIPPER BAR CHIP GARLIC,36,7 OZ,26.6,0,64.08,0,green,http://yourURL?LOCATION=
A10-118-L-2232-2154-84,\s514793,FILLING SPUN GOLD LEMON,1,38#,38,12,22.6,2,red,http://yourURL?LOCATION=
A10-121-R-2052-2190-0,\s892146,HAM DINNER BNLS WHOLE,2,9#,16,4,2.1,0,green,http://yourURL?LOCATION=
A10-121-R-2052-2190-84,\s294005,TURKEY BREAST SMOKIN CHIPOTLE,3,4.5#,13.5,41,3.63,1,red,http://yourURL?LOCATION=
A10-122-L-2232-2214-0,\s667500,BAGS WHITE KRAFT 6#,500,6X4X11,11,25.4,10.18,0,green,http://yourURL?LOCATION=
A10-122-L-2232-2214-84,\s719183,PIZZA SAUCE W/OIL & SPICES,6,#10 CAN,45.2,19.6,22.28,0,green,http://yourURL?LOCATION=
A10-125-R-2052-2250-0,\s208000,ROAST BEEF TOP ROUND,2,7.5#,15,43.4,4.28,0,green,http://yourURL?LOCATION=
A10-125-R-2052-2250-84,\s157500,ROAST BEEF LONDON BROIL,2,7#,13.5,120.6,5.88,0,green,http://yourURL?LOCATION=
A10-126-L-2232-2274-0,\s840216,AMERICAN RIBBON SL 120 F/S,6,5#,30,0.5,2.059,0,green,http://yourURL?LOCATION=
A10-126-L-2232-2274-84,\s934556,HAM COUNTRY,2,14-16#,30,0,2.58,0,green,http://yourURL?LOCATION=
A10-129-R-2052-2310-0,\s237541,BACON THICK SLICED,24,16 OZ,24,19,3.99,0,green,http://yourURL?LOCATION=
A10-129-R-2052-2310-84,\s226800,HAM OLD FASH SMOKEHOUSE,2,10#,20,308.2,3.4,0,green,http://yourURL?LOCATION=
A10-12-L-2232-678-0,\s672017,ICING GREEN N GLOSSY,1,23#,23,0,26.89,0,green,http://yourURL?LOCATION=
A10-130-L-2232-2322-0,\s196733,ALMONDS ROASTED SEA SALT,1,25#,25,3.4,80.69,0,green,http://yourURL?LOCATION=
A10-130-L-2232-2322-84,\s646800,PINEAPPLE TIDBITS IN JUICE,6,#10 CAN,40.5,22.2,35.67,0,green,http://yourURL?LOCATION=
A10-134-R-2052-2370-0,\s615143,COFFEE WOODWARD AVE BLEND,6,8 OZ,3,43.8,22.8,0,green,http://yourURL?LOCATION=
A10-134-R-2052-2370-84,\s240400,TURKEY BREAST GOURMET LITE,2,7#,14,90.4,5.1,0,green,http://yourURL?LOCATION=
A10-135-L-2232-2382-0,\s326902,HAM ITALIAN STYLE HOT,2,5#,10,16.6,3.6,0,green,http://yourURL?LOCATION=
A10-135-L-2232-2382-84,\s835650,SESAME SEED TOASTED,1,50#,50,2,58.5,2,red,http://yourURL?LOCATION=
A10-138-R-2052-2418-0,\s762586,TURKEY BREAST JP NATURAL,2,8#,16,43.6,3.55,0,green,http://yourURL?LOCATION=
A10-138-R-2052-2418-84,\s265745,TURKEY BREAST LOW SODIUM,2,7.5#,15,108.2,3.63,0,green,http://yourURL?LOCATION=
A10-140-L-2232-2442-0,\s829233,TURKEY BREAST BROWNED DLX,2,9#,18.2,21.2,2.39,0,green,http://yourURL?LOCATION=
A10-140-L-2232-2442-84,\s582929,TURKEY BREAST GOLDEN BROWNED,2,8-10#,16.9,379.2,2.54,0,green,http://yourURL?LOCATION=
A10-143-R-2052-2478-0,\s362286,POTATOES MASHED HOMESTYLE,6,24 OZ,9,44.2,10.34,0,green,http://yourURL?LOCATION=
A10-143-R-2052-2478-84,\s214000,SALAMI HARD HICKORY,6,6#,36,187.6,3.28,0,green,http://yourURL?LOCATION=
A10-145-L-2232-2502-0,\s674500,T-SACK-THANK YOU LOW-D,1000,12X7X22,13,49.6,25.37,1,red,http://yourURL?LOCATION=
A10-145-L-2232-2502-84,\s557871,PEANUT BRITTLE,1,20#,20,32.6,29.55,1,red,http://yourURL?LOCATION=
A10-148-R-2052-2538-0,\s139100,TURKEY BREAST HOMESTYLE,2,8#,16,59.6,5.1,0,green,http://yourURL?LOCATION=
A10-148-R-2052-2538-84,\s226700,TURKEY BREAST OVEN ROASTED,2,8#,16,162.8,3.7,0,green,http://yourURL?LOCATION=
A10-149-L-2232-2550-0,\s359052,KEFIR DRINK LF MANGO,6,32 OZ,12,44.4,13.4,0,green,http://yourURL?LOCATION=
A10-149-L-2232-2550-84,\s935207,CHICKEN BREAST CITRUS LTO,3,5#,15,62.6,3.45,0,green,http://yourURL?LOCATION=
A10-14-R-2052-714-0,\s830024,BAG 8LB WHITE BRUSTER,4,500 CT,47,1.2,110.56,0,green,http://yourURL?LOCATION=
A10-14-R-2052-714-84,\s797903,PINEAPPLE TIDBITS IN LT SYRUP,6,81 OZ,34,2.8,29.88,0,green,http://yourURL?LOCATION=
A10-153-R-2052-2598-0,\s327602,HUMMUS W/PRETZEL CLASSIC,12,4.56 OZ,4.28,190.4,13.44,0,green,http://yourURL?LOCATION=
A10-153-R-2052-2598-84,\s643295,MAYONNAISE PACKETS,500,12 GRAM,14.75,9.8,43.91,0,green,http://yourURL?LOCATION=
A10-154-L-2232-2610-0,\s895963,SACKS-HD BUSCHS SUMMER,300,1/7-70#,38,192.8,27.86,0,green,http://yourURL?LOCATION=
A10-154-L-2232-2610-84,\s92900,CHICKEN BREAST BBQ,2,4#,8,75.6,3.63,0,green,http://yourURL?LOCATION=
A10-157-R-2052-2646-0,\s559248,PORK ROAST DELI,2,3.5-4#,7.32,25.6,3.79,0,green,http://yourURL?LOCATION=
A10-157-R-2052-2646-84,\s217949,YOGURT GREEK STRAWBERRY 0%,12,5.3 OZ,3.975,453.4,11.64,0,green,http://yourURL?LOCATION=
A10-159-L-2232-2670-0,\s301662,DIP FRENCH ONION,12,8 OZ,6,45.2,7.83,0,green,http://yourURL?LOCATION=
A10-159-L-2232-2670-84,\s358344,SOUR CREAM SQUEEZE,12,15 OZ,11.25,300,14.84,0,green,http://yourURL?LOCATION=
A10-15-L-2232-726-84,\s840566,TOPPING CARAMEL,6,96 OZ,50.86,12.4,47.23,0,green,http://yourURL?LOCATION=
A10-162-R-2052-2706-0,\s362337,BEEF STICKS HICKORY PROSP CH,3,2.5#,7.5,45.8,41.97,0,green,http://yourURL?LOCATION=
A10-162-R-2052-2706-84,\s240300,TURKEY BREAST HONEY #61802,2,7#,14,30.2,5.1,0,green,http://yourURL?LOCATION=
A10-164-L-2232-2730-0,\s272723,TORTILLAS CORN FAMILY PACK,12,32 OZ,24,42.4,20.64,0,green,http://yourURL?LOCATION=
A10-164-L-2232-2730-84,\s453538,PEANUTS HONEY ROASTED,1,25#,25,18.8,32,0,green,http://yourURL?LOCATION=
A10-167-R-2052-2766-0,\s948479,DIP ARTICHOKE & ASIAGO,4,4.4#,17.6,19,2.84,0,green,http://yourURL?LOCATION=
A10-167-R-2052-2766-84,\s240500,TURKEY BREAST BLK FORST SMKD,2,9.5#,19,79.4,5.1,1,red,http://yourURL?LOCATION=
A10-172-R-2052-2826-0,\s606031,HAM BLACK FOREST,2,9.5#,19,56.8,3.47,0,green,http://yourURL?LOCATION=
A10-172-R-2052-2826-84,\s893994,CHEESE COLBY JACK SHREDDED,6,2#,12,96.2,26.46,0,green,http://yourURL?LOCATION=
A10-17-R-2052-774-0,\s608500,BOX CAKE WINDOW EXPRESSIONS,50,1/2 SHT,29.2,37.2,42.49,0,green,http://yourURL?LOCATION=
A10-17-R-2052-774-84,\s425254,LEMONADE DIET,8,59 OZ,29.5,35.8,12.88,2,red,http://yourURL?LOCATION=
A10-195-L-2232-3138-0,\s661900,BAGS WICKET CLEAR POLY 1 MIL,1000,11X18+4,15.22,22.2,24.74,0,green,http://yourURL?LOCATION=
A10-199-L-2232-3198-0,\s617557,ICED COFFEE DOUBLE ESPRESSO,6,48 OZ,18,56.4,21.42,2,red,http://yourURL?LOCATION=
A10-1-R-2052-390-0,\s174702,PARTY TRAY-HORMEL SUPREME,8,2.48#,19.84,8.2,92.78,0,green,http://yourURL?LOCATION=
A10-1-R-2052-390-84,\s722000,PIZZA SAUCE SUPER DOLCE SWEET,6,#10 CAN,46.3,12,28.17,0,green,http://yourURL?LOCATION=
A10-202-L-2232-3246-0,\s206831,LICORICE ALL SORTS,4,6.6#,26.4,46.8,46.5,0,green,http://yourURL?LOCATION=
A10-206-L-2232-3306-0,\s126536,CHEDDAR MILD FEATHER SHREDDED,6,5#,30,202.2,1.9935,1,red,http://yourURL?LOCATION=
A10-209-L-2232-3366-0,\s824970,PEPPERONI SLICER REGULAR,12,2#,25.93,8.6,2.73,0,green,http://yourURL?LOCATION=
A10-216-L-2232-3474-0,\s953061,T-SACK HIPPO-THANK YOU,1702,12X7X22,21,74,37.32,1,red,http://yourURL?LOCATION=
A10-219-L-2232-3534-0,\s393056,PUNCH CITRUS,6,128 OZ,51,12.4,9.12,0,green,http://yourURL?LOCATION=
A10-21-L-2232-846-0,\s833181,MIX COOKIE SUGAR,1,35#,35,2,35.48,0,green,http://yourURL?LOCATION=
A10-21-L-2232-846-84,\s619648,WING SAUCE BUFFALO,4,GALLON,37.64,7.4,41.75,0,green,http://yourURL?LOCATION=
A10-23-R-2052-882-0,\s509727,PARMESAN WHEEL,1,20#,20,7.4,3.11,0,green,http://yourURL?LOCATION=
A10-24-L-2232-906-84,\s957441,FILLING APPLE FRUITFUL PASTRY,1,40#,40,5.6,56.33,0,green,http://yourURL?LOCATION=
A10-27-R-2052-942-0,\s836765,PICKLES KOSHER WHOLE,1,5 GAL,46,0.8,23.89,0,green,http://yourURL?LOCATION=
A10-27-R-2052-942-84,\s245003,GLAZE NEUTRAL FRUIT,12,2#,25,3,14.28,0,green,http://yourURL?LOCATION=
A10-28-L-2232-954-0,\s880266,KOMBUCHA CALIFORNIA GRAPE,12,16 OZ,22.5,13.2,27,1,red,http://yourURL?LOCATION=
A10-28-L-2232-954-84,\s832733,ALMONDS DICE BUTTERED W/S,1,30#,24,5.2,152,0,green,http://yourURL?LOCATION=
A10-32-R-2052-1002-84,\s149600,CHEDDAR MEDIUM BLOCK*,1,40#,42.9,7.2,2.56,0,green,http://yourURL?LOCATION=
A10-33-L-2232-1014-0,\s510169,LOAF LIVER,2,2-3#,6,38.2,2.46,0,green,http://yourURL?LOCATION=
A10-33-L-2232-1014-84,\s189500,CREAM CHEESE,1,30#,30,58,1.8495,0,green,http://yourURL?LOCATION=
A10-36-R-2052-1050-0,\s535406,T-SACK-NEIMANS MKTS,1000,12X7X22,15,72.2,27.08,0,green,http://yourURL?LOCATION=
A10-36-R-2052-1050-84,\s638600,PASTRAMI SPICED BEEF,2,5#,10,25,5.19,0,green,http://yourURL?LOCATION=
A10-37-L-2232-1074-0,\s300100,CONT SOUP GARDEN DESGN W/LID,250,12 oz,23,1.8,57.52,0,green,http://yourURL?LOCATION=
A10-37-L-2232-1074-84,\s788500,HAM OLD TYME 10%,2,12#,24,89,1.59,0,green,http://yourURL?LOCATION=
A10-3-L-2232-450-84,\s611300,MAYONNAISE EXTRA HEAVY,4,GALLON,33.04,163.2,25.97,0,green,http://yourURL?LOCATION=
A10-3-R-2052-450-0,\s560319,WAFERS PINK APLINE,1,25#,25,0,40.25,0,green,http://yourURL?LOCATION=
A10-40-R-2052-1110-0,\s585500,CONT SOUP GARDEN DESGN W/LID,250,16 OZ,23,4.6,60.92,0,green,http://yourURL?LOCATION=
A10-40-R-2052-1110-84,\s119536,COLBY MINI HORN*,2,6#,12,531.4,2.1555,0,green,http://yourURL?LOCATION=
A10-41-L-2232-1134-0,\s431935,CHEESE SHRED ORGANIC ITALIAN,12,6 OZ,4.5,13.4,35.88,0,green,http://yourURL?LOCATION=
A10-41-L-2232-1134-84,\s357648,POTATO SALAD MUSTARD PACKAGED,6,32 OZ,12,1293.8,11.25,0,green,http://yourURL?LOCATION=
A10-44-R-2052-1170-0,\s655161,BOX PIZZA JONNAS TAYLOR 14IN,50,14X14X2,17,5.4,21.58,0,green,http://yourURL?LOCATION=
A10-44-R-2052-1170-84,\s241600,ROAST BEEF TOP ROUND,2,6#,12,17.6,5.88,0,green,http://yourURL?LOCATION=
A10-45-L-2232-1182-0,\s620700,CONT CLEAR HINGD LBH523(SL35),500,9X5X3.5,24.1,33,52.37,0,green,http://yourURL?LOCATION=
A10-45-L-2232-1182-84,\s243700,PEPPERONI SANDWICH STYLE,5,4#,20,60,2.57,0,green,http://yourURL?LOCATION=
A10-49-R-2052-1230-0,\s904800,LID PLASTIC STRAW SLOT #32SL,500,32-44OZ,5,886.2,19.68,0,green,http://yourURL?LOCATION=
A10-49-R-2052-1230-84,\s290612,HAM MAPLE HONEY,3,4#,12,69,3.41,0,green,http://yourURL?LOCATION=
A10-4-L-2232-498-84,\s886603,HAM IMPORTED REDUCED SODIUM,2,11#,22,391.8,3.18,0,green,http://yourURL?LOCATION=
A10-4-R-2052-498-84,\s838298,PEACHES SLICED IN LIGHT SYRUP,6,#10 CAN,39.75,27.8,24.01,0,green,http://yourURL?LOCATION=
A10-50-L-2232-1242-0,\s675629,CUP THORNTON IX OWN THE WAY,1000,16 OZ,12.03,40.4,52.5,0,green,http://yourURL?LOCATION=
A10-50-L-2232-1242-84,\s272876,SACKS HAND UP-VILLAGE MARKET,300,1/6-70#,47,39.2,36.76,0,green,http://yourURL?LOCATION=
A10-53-R-2052-1278-0,\s362274,TURKEY O/R DELI SHAVED,8,9 OZ,4.5,37,12,0,green,http://yourURL?LOCATION=
A10-53-R-2052-1278-84,\s119836,PEPPER JACK MINI HORN,2,6#,12,134.8,2.009,0,green,http://yourURL?LOCATION=
A10-54-L-2232-1302-0,\s614700,BAGS BREAD CLEAR POLY .75 MIL,1000,5X5X19,9.74,38.2,14.19,0,green,http://yourURL?LOCATION=
A10-54-L-2232-1302-84,\s156723,RELISH CHICAGO STYLE,4,GALLON,38,14.6,18.5,0,green,http://yourURL?LOCATION=
A10-57-R-2052-1338-0,\s389842,EASTER PASTEL KISSES  BULK,1,25#,26.6,0,89.5,0,green,http://yourURL?LOCATION=
A10-57-R-2052-1338-84,\s407800,BOLOGNA DELUXE CLUB,2,13.4#,26.8,335.2,1.58,0,green,http://yourURL?LOCATION=
A10-58-L-2232-1362-0,\s198960,PEANUTS BLANCH ROASTED NO SALT,1,25#,25,10,38.61,0,green,http://yourURL?LOCATION=
A10-58-L-2232-1362-84,\s432938,WATER IN PAPER CARTON,24,16.9 OZ,27.6,78.6,16.8,1,red,http://yourURL?LOCATION=
A10-61-R-2052-1398-0,\s192900,TURKEY BREAST OVEN PREPARED,2,8#,16,41.2,2.79,0,green,http://yourURL?LOCATION=
A10-61-R-2052-1398-84,\s931644,PUDDING ALMONDMILK DRK CHOC,6,4/3.75Z,5.625,38.8,11.1186,0,green,http://yourURL?LOCATION=
A10-62-L-2232-1410-0,\s559180,CHICKEN BREAST HONEY GRILLED,2,6.5#,13,34,4.59,0,green,http://yourURL?LOCATION=
A10-62-L-2232-1410-84,\s735826,HANK'S VANILLA CREAM,6,4 PK,33.25,16.5,18,2,red,http://yourURL?LOCATION=
A10-66-R-2052-1458-0,\s351000,GLOVES VINYL PF LARGE,10,100 CT,14.7,439.2,16.8,0,green,http://yourURL?LOCATION=
A10-66-R-2052-1458-84,\s359049,KEFIR DRINK LF PLAIN,6,32 OZ,12,109.4,13.4,0,green,http://yourURL?LOCATION=
A10-67-L-2232-1470-0,\s902585,T-SACK MARTINS,1000,12X7X22,23,587.6,16.75,0,green,http://yourURL?LOCATION=
A10-67-L-2232-1470-84,\s670300,BAGS BROWN KRAFT 20# SQUAT HD,500,8X6X13,31,100,18.98,0,green,http://yourURL?LOCATION=
A10-6-L-2232-558-0,\s834100,T-SACK-THANK YOU FLAG LOW-D,1000,12X7X22,13,36,25.57,1,red,http://yourURL?LOCATION=
A10-70-R-2052-1506-0,\s820700,ICING CHOCOLATE DONUT,1,38#,40,38.8,52.1,0,green,http://yourURL?LOCATION=
A10-70-R-2052-1506-84,\s277300,HAM VIRGINIA BRAND,2,13#,26,142.8,2.39,0,green,http://yourURL?LOCATION=
A10-71-L-2232-1530-0,\s198994,PEANUTS BLANCH ROASTED SALTED,1,25#,25,11.2,38.54,0,green,http://yourURL?LOCATION=
A10-71-L-2232-1530-84,\s145018,POTATO SALAD DEVILED EGG,2,8#,16,476.4,1.75,0,green,http://yourURL?LOCATION=
A10-74-R-2052-1566-0,\s416176,SALAD COUSCOUS FETA AND MINT,2,4#,8,36.8,2.82,0,green,http://yourURL?LOCATION=
A10-74-R-2052-1566-84,\s907711,DOUGH COOKIE EDIBLE CONFETTI,32,3.5 OZ,7,56.4,35.2,0,green,http://yourURL?LOCATION=
A10-75-L-2232-1590-0,\s528818,GUMMI RATTLESNAKE 27 INCH,1,20#,20,0,44.51,0,green,http://yourURL?LOCATION=
A10-75-L-2232-1590-84,\s357459,POTATO SALAD AMERICAN,2,5#,10,489.8,0.86,0,green,http://yourURL?LOCATION=
A10-78-R-2052-1626-0,\s831876,GUMMI PEACH RINGS,6,5#,30,2.8,30.15,0,green,http://yourURL?LOCATION=
A10-78-R-2052-1626-84,\s868715,EGG NOG TRADITIONAL,12,32 OZ,24,0,27,0,green,http://yourURL?LOCATION=
A10-79-L-2232-1638-0,\s714283,CHIPS PLANTAIN SALTED,4,5#,20,40.8,42,0,green,http://yourURL?LOCATION=
A10-79-L-2232-1638-84,\s190800,TURKEY BREAST CRK PEP/SEAS,3,4#,12,62,3.63,1,red,http://yourURL?LOCATION=
A10-83-R-2052-1686-0,\s663621,PEAS FRIED SALTED BULK,2,11#,22,39.2,23.54,0,green,http://yourURL?LOCATION=
A10-83-R-2052-1686-84,\s221900,HAM HONEY CURED #12950,3,6.5#,19.5,208.4,3.41,0,green,http://yourURL?LOCATION=
A10-84-L-2232-1698-0,\s762558,TURKEY BREAST JP MESQUITE,2,8#,16,39.4,3.5,0,green,http://yourURL?LOCATION=
A10-84-L-2232-1698-84,\s273900,SAUERKRAUT 2# POLY,12,2#,27,17.8,20.82,0,green,http://yourURL?LOCATION=
A10-87-R-2052-1734-0,\s643380,BAG BREAD POLY EVA W,1000,11X13X3,9.5,39.8,21.18,0,green,http://yourURL?LOCATION=
A10-87-R-2052-1734-84,\s92800,CHICKEN BREAST BUFFALO,2,4#,8,100.8,3.63,0,green,http://yourURL?LOCATION=
A10-88-L-2232-1758-0,\s670800,BAGS BROWN KRAFT LIQUOR PINT,500,4X2X11,7,40.4,7.57,0,green,http://yourURL?LOCATION=
A10-88-L-2232-1758-84,\s232556,FILM MEAT DIGI,1,"16""4500",27,15.8,52.17,0,green,http://yourURL?LOCATION=
A10-8-R-2052-606-84,\s715000,T-SACK-THANK YOU ENVIRO BEIGE,1000,13X8X23,22.08,212,26.22,1,red,http://yourURL?LOCATION=
A10-91-R-2052-1794-0,\s714700,BAGS POP CAN TOMRA 1.3 MIL,100,37X52,30.5,10.2,35.14,0,green,http://yourURL?LOCATION=
A10-91-R-2052-1794-84,\s233000,CAPICOLA HOT,3,5#,15,41,3.99,3,red,http://yourURL?LOCATION=
A10-92-L-2232-1818-0,\s861014,HONEY CURED DELI HAM,4,6#,24,5.6,3.06,0,green,http://yourURL?LOCATION=
A10-92-L-2232-1818-84,\s277700,BOLOGNA CLEVELAND,3,12#,36,48.8,1.34,2,red,http://yourURL?LOCATION=
A10-95-R-2052-1854-0,\s358860,"PIZZA CRUST 12"" THIN & CRISPY",12,2/16 OZ,24,11,34.8,0,green,http://yourURL?LOCATION=
A10-95-R-2052-1854-84,\s115600,MUENSTER SQUARE YELLOW*,6,5#,36,239.6,2.0335,0,green,http://yourURL?LOCATION=
A10-96-L-2232-1866-0,\s83900,JALAPENO LOAF,3,3.2#,9.6,41.4,3.09,0,green,http://yourURL?LOCATION=
A10-96-L-2232-1866-84,\s615800,DRESSING REF SLAW,4,GALLON,36,57.6,37.64,6,red,http://yourURL?LOCATION=
A10-9-L-2232-618-0,\s736600,TURKEY BREAST MAPLE GLAZED,2,7#,14,39.4,5.1,0,green,http://yourURL?LOCATION=
A1-101-L-180-1926-0,\s925687,POPCORN DRIZZLE SHIPPER,36,13.1 OZ,41,8.5,73.8,0,green,http://yourURL?LOCATION=
A1-101-L-180-1926-60,\s359145,YOGURT PLAIN 0 %,6,32 OZ,12,68.6,17.16,0,green,http://yourURL?LOCATION=
A1-101-R-0-1926-0,\s444345,PEPPERS RED ROASTED,6,#10 CAN,45,16.6,28.5,0,green,http://yourURL?LOCATION=
A1-101-R-0-1926-60,\s530841,TUB SM GUMMI BEARS ASSORTED,12,13 OZ,9.75,66.4,18.69,0,green,http://yourURL?LOCATION=
A1-105-L-180-1986-0,\s766219,DRINK EXPOSED ALOE & HONEY,12,16.9 OZ,12.68,29.2,13.5,0,green,http://yourURL?LOCATION=
A1-105-L-180-1986-60,\s838130,PASTA SAUCE MARINARA FULL RED,6,#10 CAN,46,7.8,25.07,0,green,http://yourURL?LOCATION=
A1-105-R-0-1986-0,\s409900,MILK EVAPORATED,6,#10,47,10.2,47.25,0,green,http://yourURL?LOCATION=
A1-105-R-0-1986-60,\s359151,YOGURT FRENCH VANILLA LOW FAT,6,32 OZ,12,68.6,17.16,0,green,http://yourURL?LOCATION=
A1-109-L-180-2046-0,\s836758,PICKLES SPEARS KOSHER,1,5 GAL,46,0.4,24.73,0,green,http://yourURL?LOCATION=
A1-109-L-180-2046-60,\s359073,KEFIR DRINK FF PLAIN,6,32 OZ,12,70.2,13.4,0,green,http://yourURL?LOCATION=
A1-109-R-0-2046-0,\s374703,TUB LG DRIED CRANBERRIES,12,13 OZ,10.75,69.4,20.27,0,green,http://yourURL?LOCATION=
A1-109-R-0-2046-60,\s670700,SACKS BROWN KRAFT,400,1/6-75#,56,72,32.41,1,red,http://yourURL?LOCATION=
A11-100-R-2280-1914-0,\s915649,"CIABATTA 4.5"" HAM & HAVARTI",4,5 OZ,1.5,32,11.49,1,red,http://yourURL?LOCATION=
A11-100-R-2280-1914-48,\s507449,GUMMI BEARS WILD CHERRY,4,5#,20,23.6,21.66,0,green,http://yourURL?LOCATION=
A11-101-L-2460-1926-0,\s648038,ICING COUNTRY WHITE ZTF,1,28#,28,255.8,44.78,0,green,http://yourURL?LOCATION=
A11-101-L-2460-1926-60,\s358845,"PIZZA CRUST 12"" TRADITIONAL",12,2/24 OZ,36,13.6,34.8,0,green,http://yourURL?LOCATION=
A11-104-R-2280-1962-0,\s620005,CONT CLEAR HINGED PET2OUT1,500,5X5X2.7,20.3,10.4,42.14,0,green,http://yourURL?LOCATION=
A11-104-R-2280-1962-48,\s166703,CHICKEN BREAST RED SODIUM O/R,2,4#,8,43.8,3.63,0,green,http://yourURL?LOCATION=
A11-105-L-2460-1986-60,\s188000,GELATIN STRAWBERRY PARFAIT,2,4#,8,57.4,0.965,0,green,http://yourURL?LOCATION=
A11-107-R-2280-2010-48,\s530433,FILBERTS NATURAL TURKISH,1,55#,55,13.8,217.33,0,green,http://yourURL?LOCATION=
A11-108-R-2280-2022-0,\s666100,BAGS BAKERY ITALIAN DESIGN,1000,6X3X18,26.5,4.6,49.53,0,green,http://yourURL?LOCATION=
A11-108-R-2280-2022-48,\s232076,TOMATO SAUCE,12,29 OZ,21.75,36,9.73,0,green,http://yourURL?LOCATION=
A11-109-L-2460-2046-0,\s560336,WAFERS YELLOW ALPINE,1,25#,25,0,40.25,0,green,http://yourURL?LOCATION=
A11-109-L-2460-2046-60,\s428926,CHEESE BLEND DOLLY'S,6,5#,30,27.2,2.067,0,green,http://yourURL?LOCATION=
A11-10-R-2280-654-48,\s654600,MALT BALLS JUMBO CHOC COVERED,1,20#,20,49,35.63,0,green,http://yourURL?LOCATION=
A11-111-R-2280-2070-48,\s533187,THIN MINTS DARK CHOCOLATE,36,3.5 OZ,10,0,27.5,0,green,http://yourURL?LOCATION=
A11-112-R-2280-2082-0,\s933051,JUICE ORANGE 50% LESS SUGAR,6,59 OZ,25.75,11.8,8.7,0,green,http://yourURL?LOCATION=
A11-112-R-2280-2082-48,\s251214,HAM BLACK FOREST W/NAT JUICES,2,4.5#,9,75.4,4.6,0,green,http://yourURL?LOCATION=
A11-113-L-2460-2094-0,\s425152,LEMONADE ORIGINAL,8,59 OZ,29.5,166.6,12.88,4,red,http://yourURL?LOCATION=
A11-113-L-2460-2094-60,\s292975,T-SACK-VALLI PRODUCE,1000,11X6X21,17,324.8,13.42,0,green,http://yourURL?LOCATION=
A11-116-R-2280-2130-48,\s205300,CORNED BEEF RND CAP-OFF#46802,2,6#,12,39.4,5.88,0,green,http://yourURL?LOCATION=
A11-117-R-2280-2142-0,\s694533,DATES PITTED DEGLET NOOR,1,20#,20,121.8,31,1,red,http://yourURL?LOCATION=
A11-117-R-2280-2142-48,\s126036,MOZZARELLA /PROV 50/50 SHRED*,6,5#,30,251.8,2.0235,0,green,http://yourURL?LOCATION=
